date,direction_actual,delta_bp,signal_sentence,modality,modality_all,direction_signal,hedge_count,hedges_found,has_conditionality,conditions_found,hardness_v1,n_words
2016-01-29,hold,0,"Однако потребуется дальнейшая адаптация платежного баланса и экономики к понизившемуся уровню мировых цен на основные товары российского экспорта. Как результат, в 2016 году снижение ВВП будет более значительным, чем прогнозировалось ранее в базовом сценарии.",necessity_impersonal,necessity_impersonal,none,0,,1,в базовом сценари,0.0,504
2016-03-18,hold,0,,,,none,0,,0,,0.0,632
2016-04-29,hold,0,,,,none,0,,0,,0.0,493
2016-06-10,down,-50,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|intention,down,0,,0,,-0.3,600
2016-07-29,hold,0,"Банк России будет рассматривать возможность дальнейшего снижения ключевой ставки, оценивая инфляционные риски и соответствие динамики замедления инфляции прогнозной траектории. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|intention,down,0,,0,,-0.3,545
2016-09-16,down,-50,"При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|intention,none,0,,0,,0.0,694
2016-10-28,hold,0,"При принятии решения о ключевой ставке в ближайшие месяцы Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|intention,none,0,,0,,0.0,788
2016-12-16,hold,0,"При принятии решения о ключевой ставке на ближайших заседаниях Банк России будет оценивать инфляционные риски и соответствие динамики экономики и инфляции базовому прогнозу. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|intention,none,0,,0,,0.0,695
2017-02-03,hold,0,,,,none,0,,0,,0.0,700
2017-03-24,down,-25,"Банк России будет оценивать дальнейшую динамику инфляции и экономики относительно прогноза и допускает возможность постепенного снижения ключевой ставки во II – III кварталах текущего года. Принимая решение по ключевой ставке, Совет директоров Банка России исходил из следующего.",conditional_evaluation,conditional_evaluation|possibility_speaker|intention,down,1,постепенного,0,,-0.255,731
2017-04-28,down,-50,"Принимая решение о ключевой ставке в дальнейшем, Банк России будет оценивать соотношение вероятностей реализации базового сценария (снижение цен на нефть до $40 за баррель) и сценария с ростом цен на нефть, а также дальнейшую динамику инфляции и развитие экономики относительно прогноза. При этом оценка Банком России возможного общего масштаба снижения ключевой ставки до конца 2017 года не изменилась.",conditional_evaluation,conditional_evaluation|intention,down,0,,0,,-0.3,767
2017-06-16,down,-25,Для поддержания инфляции вблизи целевого значения 4% Банк России продолжит проведение умеренно жесткой денежно-кредитной политики. Банк России видит пространство для снижения ключевой ставки во втором полугодии 2017 года.,intention,intention,none,1,умеренно,0,,0.0,670
2017-07-28,hold,0,Для поддержания инфляции вблизи целевого значения 4% Банк России продолжит проведение умеренно жесткой денежно-кредитной политики. Банк России видит пространство для снижения ключевой ставки во втором полугодии 2017 года.,intention,intention,none,1,умеренно,0,,0.0,682
2017-09-15,down,-50,Для поддержания инфляции вблизи 4% Банк России продолжит проведение умеренно жесткой денежно-кредитной политики. На горизонте ближайших двух кварталов Банк России допускает возможность снижения ключевой ставки.,intention,intention,none,1,умеренно,0,,0.0,728
2017-10-27,down,-25,"С учетом этого Банк России продолжит переходить от умеренно жесткой к нейтральной денежно-кредитной политике постепенно. Принимая решение по ключевой ставке, Банк России будет оценивать баланс рисков существенного и устойчивого отклонения инфляции вверх и вниз от цели, а также динамику экономической активности относительно прогноза.",intention,intention,none,2,умеренно|постепенно,1,С учетом ,0.0,615
2017-12-15,down,-50,"Банк России продолжит переходить от умеренно жёсткой к нейтральной денежно-кредитной политике постепенно. Принимая решение по ключевой ставке, Банк России будет оценивать баланс рисков существенного и устойчивого отклонения инфляции вверх и вниз от цели, а также динамику экономической активности относительно прогноза.",intention,intention,none,2,умеренно|постепенно,0,,0.0,828
2018-02-09,down,-25,"В этих условиях Банк России продолжит снижение ключевой ставки и допускает завершение перехода от умеренно жесткой к нейтральной денежно-кредитной политике в 2018 году. Совет директоров Банка России, принимая решение по ключевой ставке, исходил из следующего.",intention,intention,down,1,умеренно,0,,-0.425,810
2018-03-23,down,-25,"В этих условиях Банк России продолжит снижение ключевой ставки и завершит переход к нейтральной денежно-кредитной политике в 2018 году. Совет директоров Банка России, принимая решение по ключевой ставке, исходил из следующего.",intention,intention,down,0,,0,,-0.5,615
2018-04-27,hold,0,"При этом Банк России считает, что потенциал снижения ключевой ставки для формирования нейтральных денежно-кредитных условий уменьшился, учитывая рост процентных ставок на развитых рынках и повышение страновой премии за риск на Россию. В дальнейшем, принимая решение, Банк России будет исходить из оценки инфляционных рисков, динамики инфляции и развития экономики относительно прогноза.",,,mixed,0,,0,,0.0,549
2018-06-15,hold,0,"Банк России будет принимать решение по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза. Совет директоров Банка России, принимая решение по ключевой ставке, исходил из следующего.",intention,intention,none,0,,0,,0.0,754
2018-07-27,hold,0,"Банк России будет принимать решения по ключевой ставке, оценивая инфляционные риски, динамику инфляции и развитие экономики относительно прогноза. Банк России считает наиболее вероятным переход к нейтральной денежно-кредитной политике в 2019 году.",intention,intention,none,0,,0,,0.0,673
2018-09-14,up,25,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков. Динамика инфляции.",conditional_evaluation,conditional_evaluation|intention,up,0,,0,,0.3,679
2018-10-26,hold,0,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков. Динамика инфляции.",conditional_evaluation,conditional_evaluation|intention,up,0,,0,,0.3,657
2018-12-14,up,25,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки, принимая во внимание динамику инфляции и экономики относительно прогноза, а также учитывая риски со стороны внешних условий и реакции на них финансовых рынков. Динамика инфляции.",conditional_evaluation,conditional_evaluation|intention,up,0,,0,,0.3,809
2019-02-08,hold,0,"Банк России будет принимать решения по ключевой ставке, оценивая достаточность повышения ключевой ставки в сентябре и декабре 2018 года для возврата годовой инфляции к цели в 2020 году, с учетом динамики инфляции и экономики относительно прогноза, а также рисков со стороны внешних условий и реакции на них финансовых рынков. Динамика инфляции .",intention,intention,up,0,,1,с учетом ,0.3,741
2019-03-22,hold,0,"Банк России будет принимать решения по ключевой ставке с учетом динамики инфляции и экономики относительно прогноза, а также оценивая риски со стороны внешних условий и реакции на них финансовых рынков. При развитии ситуации в соответствии с базовым прогнозом Банк России допускает переход к снижению ключевой ставки в 2019 году.",intention,intention,none,0,,1,с учетом |При развитии ситуации|в соответствии с базовым прогноз,0.0,848
2019-04-26,hold,0,"Банк России будет принимать решения по ключевой ставке с учетом динамики инфляции и экономики относительно прогноза, а также оценивая риски со стороны внешних условий и реакции на них финансовых рынков. При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность снижения ключевой ставки в II – III кварталах 2019 года.",intention,intention,none,0,,1,с учетом |При развитии ситуации|в соответствии с базовым прогноз,0.0,697
2019-06-14,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров и переход к нейтральной денежно-кредитной политике до середины 2020 года. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.36,794
2019-07-26,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров и переход к нейтральной денежно-кредитной политике в первой половине 2020 года. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.36,818
2019-09-06,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,876
2019-10-25,down,-50,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на одном из ближайших заседаний Совета директоров. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,985
2019-12-13,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки в первом полугодии 2020 года. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,1009
2020-02-07,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.36,986
2020-03-20,hold,0,"В дальнейшем Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Динамика инфляции.",intention,intention,none,0,,1,с учетом ,0.0,697
2020-04-24,down,-50,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.36,868
2020-06-19,down,-100,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,798
2020-07-24,down,-25,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,1011
2020-09-18,hold,0,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,941
2020-10-23,hold,0,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего снижения ключевой ставки на ближайших заседаниях. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,-0.18,1013
2020-12-18,hold,0,"С учетом высокой неоднородности текущих тенденций в экономике и динамике цен Банк России будет оценивать дальнейшее развитие ситуации и наличие потенциала дополнительного снижения ключевой ставки. Банк России будет принимать решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,down,0,,1,С учетом |с учетом ,-0.18,1053
2021-02-12,hold,0,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет определять сроки и темпы возврата к нейтральной денежно-кредитной политике, принимая во внимание по-прежнему высокую неоднородность текущих тенденций в экономике и динамике цен и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Динамика инфляции.",intention,intention,none,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.0,1233
2021-03-19,up,25,"Банк России продолжит определять сроки и темпы возврата к нейтральной денежно-кредитной политике с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. При этом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях.",intention,intention,none,0,,1,с учетом ,0.0,960
2021-04-23,up,50,"Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,up,0,,1,с учетом ,0.18,1076
2021-06-11,up,50,"Это формирует необходимость дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",,,up,0,,1,с учетом ,0.12,983
2021-07-23,up,100,"При развитии ситуации в соответствии с базовым прогнозом Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",conditional_evaluation,conditional_evaluation|intention,up,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.18,1052
2021-09-10,up,25,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,up,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.36,996
2021-10-22,up,75,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейших повышений ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,up,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.36,1097
2021-12-17,up,100,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,up,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.36,1016
2022-02-11,up,100,"При развитии ситуации в соответствии с базовым прогнозом Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях. Решения по ключевой ставке будут приниматься с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценки рисков со стороны внутренних и внешних условий и реакции на них финансовых рынков.",possibility_speaker,possibility_speaker,up,0,,1,При развитии ситуации|в соответствии с базовым прогноз|с учетом ,0.36,1104
2022-02-28,up,1050,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий и реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте.",intention,intention,none,0,,1,исходя из оценк|с учетом ,0.0,95
2022-04-08,down,-300,"Банк России будет принимать дальнейшие решения по ключевой ставке исходя из оценки рисков со стороны внешних и внутренних условий, реакции на них финансовых рынков и с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте и допускает возможность продолжения снижения ключевой ставки на ближайших заседаниях.",possibility_speaker,possibility_speaker|intention,down,0,,1,исходя из оценк|с учетом ,-0.36,178
2022-04-29,down,-300,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. При развитии ситуации в соответствии с базовым прогнозом Банк России видит пространство для снижения ключевой ставки в 2022 году.",intention,intention,none,0,,1,с учетом |При развитии ситуации|в соответствии с базовым прогноз,0.0,824
2022-05-26,down,-300,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков, и допускает возможность снижения ключевой ставки на ближайших заседаниях. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 5,0–7,0% в 2023 году и вернется к 4% в 2024 году.",possibility_speaker,possibility_speaker|intention,down,0,,1,с учетом |с учетом ,-0.36,189
2022-06-10,down,-150,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Банк России будет оценивать целесообразность снижения ключевой ставки на ближайших заседаниях.",intention,intention,none,0,,1,с учетом ,0.0,910
2022-07-22,down,-150,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Банк России будет оценивать целесообразность снижения ключевой ставки во втором полугодии 2022 года.",intention,intention,none,0,,1,с учетом ,0.0,1149
2022-09-16,down,-50,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. По прогнозу Банка России, годовая инфляция составит 11,0–13,0% в 2022 году, а с учетом проводимой денежно-кредитной политики снизится до 5,0–7,0% в 2023 году и вернется к 4% в 2024 году.",intention,intention,none,0,,1,с учетом |с учетом ,0.0,1061
2022-10-28,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 5,0–7,0% в 2023 году и вернется к 4% в 2024 году.",intention,intention,none,0,,1,с учетом |с учетом ,0.0,1034
2022-12-16,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция снизится до 5,0–7,0% в 2023 году и вернется к 4% в 2024 году.",intention,intention,none,0,,1,с учетом |с учетом ,0.0,894
2023-02-10,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. При усилении проинфляционных рисков Банк России будет оценивать целесообразность повышения ключевой ставки на ближайших заседаниях.",intention,intention,none,0,,1,с учетом ,0.0,959
2023-03-17,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной переcтройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. При усилении проинфляционных рисков Банк России будет оценивать целесообразность повышения ключевой ставки на ближайших заседаниях.",intention,intention,none,0,,1,с учетом ,0.0,927
2023-04-28,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. В условиях постепенного увеличения текущего инфляционного давления Банк России на ближайших заседаниях будет оценивать целесообразность повышения ключевой ставки для стабилизации инфляции вблизи 4% в 2024 году и далее.",intention,intention,none,0,,1,с учетом ,0.0,1116
2023-06-09,hold,0,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. В условиях постепенного увеличения текущего инфляционного давления Банк России допускает возможность повышения ключевой ставки на ближайших заседаниях для стабилизации инфляции вблизи 4% в 2024 году и далее.",intention,intention,none,0,,1,с учетом ,0.0,1019
2023-07-21,up,100,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Банк России допускает возможность дальнейшего повышения ключевой ставки на ближайших заседаниях для стабилизации инфляции вблизи 4% в 2024 году и далее.",intention,intention,none,0,,1,с учетом ,0.0,998
2023-08-15,up,350,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. По прогнозу Банка России, с учетом проводимой денежно-кредитной политики годовая инфляция вернется к 4% в 2024 году.",intention,intention,none,0,,1,с учетом |с учетом ,0.0,224
2023-09-15,up,100,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, процесса структурной перестройки экономики, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Банк России будет оценивать целесообразность дальнейшего повышения ключевой ставки на ближайших заседаниях.",intention,intention,none,0,,1,с учетом ,0.0,1049
2023-10-27,up,200,"Банк России будет принимать дальнейшие решения по ключевой ставке с учетом фактической и ожидаемой динамики инфляции относительно цели, развития экономики на прогнозном горизонте, а также оценивая риски со стороны внутренних и внешних условий и реакции на них финансовых рынков. Согласно обновленному прогнозу Банка России, по итогам 2023 года годовая инфляция сложится в диапазоне 7,0–7,5%.",intention,intention,none,0,,1,с учетом ,0.0,1209
